key,uuid,kind,indicator_label,code,unit,module,scenario,value,value_per_declared_unit
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy resources as material utilization (PERM),PERM,MJ,C1,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy resources as material utilization (PERM),PERM,MJ,C2,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy resources as material utilization (PERM),PERM,MJ,C3,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy resources as material utilization (PERM),PERM,MJ,C4,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Renewable primary energy resources as material utilization (PERM),PERM,MJ,D,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of renewable primary energy resources (PERT),PERT,MJ,A1-A3,,171.664054015128,171.664054015128
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of renewable primary energy resources (PERT),PERT,MJ,A4,,2.00279960485842,2.00279960485842
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of renewable primary energy resources (PERT),PERT,MJ,A5,,0.207423982659574,0.207423982659574
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of renewable primary energy resources (PERT),PERT,MJ,B1,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of renewable primary energy resources (PERT),PERT,MJ,C1,,0.204274129496856,0.204274129496856
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of renewable primary energy resources (PERT),PERT,MJ,C2,,0.995072980430761,0.995072980430761
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of renewable primary energy resources (PERT),PERT,MJ,C3,,1.90603985840547,1.90603985840547
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of renewable primary energy resources (PERT),PERT,MJ,C4,,11.5787565208289,11.5787565208289
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of renewable primary energy resources (PERT),PERT,MJ,D,,-5.97183957282839,-5.97183957282839
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as energy carrier (PENRE),PENRE,MJ,A1-A3,,1355.31917708184,1355.31917708184
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as energy carrier (PENRE),PENRE,MJ,A4,,34.9323226068788,34.9323226068788
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as energy carrier (PENRE),PENRE,MJ,A5,,28.8516136571507,28.8516136571507
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as energy carrier (PENRE),PENRE,MJ,B1,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as energy carrier (PENRE),PENRE,MJ,C1,,3.56289754327565,3.56289754327565
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as energy carrier (PENRE),PENRE,MJ,C2,,17.3558104792281,17.3558104792281
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as energy carrier (PENRE),PENRE,MJ,C3,,21.570660653971,21.570660653971
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as energy carrier (PENRE),PENRE,MJ,C4,,85.9987652487954,85.9987652487954
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as energy carrier (PENRE),PENRE,MJ,D,,-57.2123788424556,-57.2123788424556
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as material utilization (PENRM),PENRM,MJ,A1-A3,,27.785887104,27.785887104
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as material utilization (PENRM),PENRM,MJ,A4,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as material utilization (PENRM),PENRM,MJ,A5,,-27.785887104,-27.785887104
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as material utilization (PENRM),PENRM,MJ,B1,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as material utilization (PENRM),PENRM,MJ,C1,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as material utilization (PENRM),PENRM,MJ,C2,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as material utilization (PENRM),PENRM,MJ,C3,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as material utilization (PENRM),PENRM,MJ,C4,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Non renewable primary energy as material utilization (PENRM),PENRM,MJ,D,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of non renewable primary energy resources (PENRT),PENRT,MJ,A1-A3,,1383.10506418589,1383.10506418589
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of non renewable primary energy resources (PENRT),PENRT,MJ,A4,,34.932322606879,34.932322606879
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of non renewable primary energy resources (PENRT),PENRT,MJ,A5,,1.06572655315071,1.06572655315071
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of non renewable primary energy resources (PENRT),PENRT,MJ,B1,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of non renewable primary energy resources (PENRT),PENRT,MJ,C1,,3.56289754327568,3.56289754327568
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of non renewable primary energy resources (PENRT),PENRT,MJ,C2,,17.3558104792283,17.3558104792283
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of non renewable primary energy resources (PENRT),PENRT,MJ,C3,,21.5706606539712,21.5706606539712
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of non renewable primary energy resources (PENRT),PENRT,MJ,C4,,85.9987652487971,85.9987652487971
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Total use of non renewable primary energy resources (PENRT),PENRT,MJ,D,,-57.212378842457,-57.212378842457
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of secondary material (SM),SM,kg,A1-A3,,29.4992466702335,29.4992466702335
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of secondary material (SM),SM,kg,A4,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of secondary material (SM),SM,kg,A5,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of secondary material (SM),SM,kg,B1,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of secondary material (SM),SM,kg,C1,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of secondary material (SM),SM,kg,C2,,0.0,0.0
aac_avg,e6819670-eb6c-4104-adea-f7f8bb2f49e6,exchange,Use of secondary material (SM),SM,kg,C3,,0.0,0.0
